#At time x process y state arr w total z remain y wait k
At time 2 process 1 Started arr 2 total 2 remain 2 wait 0
At time 5 process 2 Started arr 5 total 7 remain 7 wait 0
At time 7 process 2 Stopped arr 5 total 7 remain 5 wait 0
At time 7 process 2 Resumed arr 5 total 7 remain 5 wait 0
At time 9 process 2 Stopped arr 5 total 7 remain 3 wait 0
At time 9 process 2 Resumed arr 5 total 7 remain 3 wait 0
At time 11 process 2 Stopped arr 5 total 7 remain 1 wait 0
At time 11 process 3 Started arr 10 total 3 remain 3 wait 1
At time 13 process 3 Stopped arr 10 total 3 remain 1 wait 1
At time 13 process 2 Resumed arr 5 total 7 remain 1 wait 0
At time 14 process 4 Started arr 12 total 2 remain 2 wait 2
At time 16 process 3 Resumed arr 10 total 3 remain 1 wait 1
At time 17 process 5 Started arr 13 total 3 remain 3 wait 4
At time 19 process 5 Stopped arr 13 total 3 remain 1 wait 4
At time 19 process 5 Resumed arr 13 total 3 remain 1 wait 4
